ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2019-12-09,4165.635547886356,3964.010340203437,4491.906806751989,4165.635547886356,4165.635547886356,65.2038301626675,65.2038301626675,65.2038301626675,16.409234050646425,16.409234050646425,16.409234050646425,48.794596112021075,48.794596112021075,48.794596112021075,0.0,0.0,0.0,4230.839378049023
2019-12-10,4162.381891013088,3950.9845015638734,4504.912767528974,4162.381891013088,4162.381891013088,65.0368655591068,65.0368655591068,65.0368655591068,15.720535395926472,15.720535395926472,15.720535395926472,49.31633016318034,49.31633016318034,49.31633016318034,0.0,0.0,0.0,4227.418756572194
2019-12-11,4159.128234139821,3962.851371165347,4512.119827423404,4159.128234139821,4159.128234139821,67.02685098026826,67.02685098026826,67.02685098026826,17.66085837987003,17.66085837987003,17.66085837987003,49.36599260039822,49.36599260039822,49.36599260039822,0.0,0.0,0.0,4226.155085120089
2019-12-12,4155.874577266553,3966.7387160966937,4495.05295818733,4155.874577266553,4155.874577266553,66.03224791192447,66.03224791192447,66.03224791192447,17.028642249978688,17.028642249978688,17.028642249978688,49.00360566194579,49.00360566194579,49.00360566194579,0.0,0.0,0.0,4221.906825178477
2019-12-13,4152.620920393285,3950.2132303472417,4492.83853989197,4152.620920393285,4152.620920393285,71.61131991511566,71.61131991511566,71.61131991511566,23.313646322413522,23.313646322413522,23.313646322413522,48.29767359270213,48.29767359270213,48.29767359270213,0.0,0.0,0.0,4224.232240308401
2019-12-16,4142.859949773482,3942.8958890208314,4485.505519398902,4142.859949773482,4142.859949773482,61.303591767667164,61.303591767667164,61.303591767667164,16.40923405054066,16.40923405054066,16.40923405054066,44.894357717126496,44.894357717126496,44.894357717126496,0.0,0.0,0.0,4204.163541541149
2019-12-17,4139.606292900213,3942.9016294450944,4456.315942823444,4139.606292900213,4139.606292900213,59.327270228677,59.327270228677,59.327270228677,15.720535395978667,15.720535395978667,15.720535395978667,43.606734832698336,43.606734832698336,43.606734832698336,0.0,0.0,0.0,4198.93356312889
2019-12-18,4136.352636026945,3922.09044045686,4471.8275622677265,4136.352636026945,4136.352636026945,60.04230931345066,60.04230931345066,60.04230931345066,17.66085837987313,17.66085837987313,17.66085837987313,42.38145093357754,42.38145093357754,42.38145093357754,0.0,0.0,0.0,4196.394945340396
2019-12-19,4133.098979153678,3920.2138138770474,4474.7686432284345,4133.098979153678,4133.098979153678,58.326994506104995,58.326994506104995,58.326994506104995,17.028642249977498,17.028642249977498,17.028642249977498,41.298352256127494,41.298352256127494,41.298352256127494,0.0,0.0,0.0,4191.425973659782
2019-12-20,4129.84532228041,3929.3882906874524,4488.4439104809,4129.84532228041,4129.84532228041,63.74586082940467,63.74586082940467,63.74586082940467,23.313646322416652,23.313646322416652,23.313646322416652,40.43221450698802,40.43221450698802,40.43221450698802,0.0,0.0,0.0,4193.591183109815
2019-12-23,4120.084351660607,3892.4404995056084,4449.990889242972,4120.084351660607,4120.084351660607,56.180650262039094,56.180650262039094,56.180650262039094,16.409234050588232,16.409234050588232,16.409234050588232,39.77141621145087,39.77141621145087,39.77141621145087,0.0,0.0,0.0,4176.265001922647
2019-12-26,4110.323381040802,3884.0714242032027,4439.850971531504,4110.323381040802,4110.323381040802,59.96707126675618,59.96707126675618,59.96707126675618,17.02864224997696,17.02864224997696,17.02864224997696,42.93842901677921,42.93842901677921,42.93842901677921,0.0,0.0,0.0,4170.290452307558
2019-12-27,4107.069724167535,3916.696472296717,4451.559231816567,4107.069724167535,4107.069724167535,68.25656621821376,68.25656621821376,68.25656621821376,23.313646322419785,23.313646322419785,23.313646322419785,44.942919895793985,44.942919895793985,44.942919895793985,0.0,0.0,0.0,4175.326290385749
2019-12-30,4097.308753547732,3901.986094317019,4453.296584033249,4097.308753547732,4097.308753547732,70.08826782200333,70.08826782200333,70.08826782200333,16.409234050482464,16.409234050482464,16.409234050482464,53.67903377152087,53.67903377152087,53.67903377152087,0.0,0.0,0.0,4167.397021369735
